Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
CBSNews,Mon Aug 27 14:04:51 +0000 2018,"Archibishop's claims against Pope Francis ""like an earthquake for the Church"" https://t.co/Jljv3qmWug https://t.co/Z9OsX6cBRz",0.172,0.828,0.0,0.3612,19
CBSNews,Mon Aug 27 13:50:16 +0000 2018,"FULL STAFF: As American flags across the nation continue to remain at half staff to honor John McCain, the flag on… https://t.co/OBD36MBwUz",0.132,0.868,0.0,0.4939,20
CBSNews,Mon Aug 27 13:34:51 +0000 2018,New Hampshire played a special role in John McCain's legacy https://t.co/Od6SaMdtUJ https://t.co/mtNp6iWFOD,0.362,0.638,0.0,0.6249,21
CBSNews,Mon Aug 27 13:20:00 +0000 2018,Ivanka Trump faces social media blowback for tweet on Jacksonville shooting https://t.co/3WszU9z34z https://t.co/jkdO1LrQWF,0.0,1.0,0.0,0.0,22
CBSNews,Mon Aug 27 13:04:32 +0000 2018,White House flag flies at full-staff as nation honors John McCain https://t.co/nJCqguJS6t https://t.co/AlLjigYV4B,0.216,0.784,0.0,0.5106,23
CBSNews,Mon Aug 27 12:50:30 +0000 2018,WATCH: Police confiscated dozens of pineapples that were hollowed out and filled with nearly 150 pounds of cocaine https://t.co/32MIkl9tfV,0.0,1.0,0.0,0.0,24
CBSNews,Mon Aug 27 12:29:47 +0000 2018,"Jacksonville shooting survivor describes ""most helpless feeling in the world"" https://t.co/kfwFjzivxF https://t.co/UQwZf0tjYp",0.258,0.543,0.199,-0.0038,25
CBSNews,Mon Aug 27 12:09:39 +0000 2018,McCain requested Obama and George W. Bush deliver eulogies at funeral https://t.co/7TFNJUsSic https://t.co/4CFdL4O9Ve,0.0,0.828,0.172,-0.3612,26
CBSNews,Mon Aug 27 11:49:50 +0000 2018,Study raises concerns about pot smoking by breastfeeding mothers https://t.co/4nNxxzLKqV https://t.co/8W84jOIwVj,0.0,1.0,0.0,0.0,27
CBSNews,Mon Aug 27 11:29:35 +0000 2018,Investigators call for genocide prosecutions over slaughter of Rohingyas https://t.co/CY3WWgq85S https://t.co/hyXE4O2Us8,0.0,1.0,0.0,0.0,28
CBSNews,Mon Aug 27 11:09:32 +0000 2018,"Tropical Storm Miriam could become hurricane, move near Hawaii https://t.co/NXkA3bTAB0 https://t.co/gjis50O0kB",0.0,1.0,0.0,0.0,29
CBSNews,Mon Aug 27 10:50:00 +0000 2018,"People in Vietnam are paying their respects to U.S. Sen. John McCain, who was held as prisoner of war in Vietnam an… https://t.co/IIAI3zRmdV",0.077,0.673,0.249,-0.7269,30
CBSNews,Mon Aug 27 10:34:40 +0000 2018,"Eli Clayton and Taylor Robertson were playing in a ""Madden NFL 19"" event when another gamer, who reportedly had los… https://t.co/qSHw553Ram",0.087,0.913,0.0,0.2023,31
CBSNews,Mon Aug 27 10:29:51 +0000 2018,Jacksonville mass shooting spurs questions on esports security https://t.co/lZLQ9Gqm2b https://t.co/ZUB5twL2m2,0.211,0.789,0.0,0.34,32
CBSNews,Mon Aug 27 10:25:18 +0000 2018,"Funeral services for Senator John McCain are planned in Phoenix, Arizona, Washington, D.C., and Annapolis, Maryland… https://t.co/9cEo86ictv",0.0,0.865,0.135,-0.3612,33
CBSNews,Mon Aug 27 10:03:03 +0000 2018,Should the U.S. financial system fully embrace cryptocurrency? https://t.co/RWgdYSAiPK https://t.co/gBeHVPGZNS,0.224,0.776,0.0,0.3804,34
CBSNews,Mon Aug 27 09:48:03 +0000 2018,PETA urges Aretha Franklin's estate to donate her fur coats https://t.co/i7P2LoPXqa https://t.co/0t53TMGauJ,0.0,1.0,0.0,0.0,35
CBSNews,Mon Aug 27 09:44:05 +0000 2018,Vietnamese pay tribute to John McCain https://t.co/3qo1j3o9pm https://t.co/2HeAprusns,0.0,0.833,0.167,-0.1027,36
CBSNews,Mon Aug 27 09:33:03 +0000 2018,Greater number of African-Americans running for office in Arizona https://t.co/NVtUKNZ1ln https://t.co/5CoxR41TRX,0.297,0.703,0.0,0.4215,37
CBSNews,Mon Aug 27 09:26:06 +0000 2018,Jacksonville mass shooting spurs questions on esports security https://t.co/P7joa32byl https://t.co/EMBk8qF4Rh,0.211,0.789,0.0,0.34,38
CBSNews,Mon Aug 27 09:18:03 +0000 2018,"Pope Francis apologizes for Catholic Church's ""crimes"" in Ireland https://t.co/STJTi0FfcX https://t.co/zvSJj3WegJ",0.2,0.8,0.0,0.3612,39
CBSNews,Mon Aug 27 09:03:04 +0000 2018,A look into the lives of Robin Leach and Ed King https://t.co/PWdNqGhRpz https://t.co/6c3DQz6iaT,0.0,1.0,0.0,0.0,40
CBSNews,Mon Aug 27 08:54:05 +0000 2018,Investigators call for genocide prosecutions over slaughter of Rohingyas https://t.co/YUPHmcXb4h https://t.co/bLASsew2rK,0.0,1.0,0.0,0.0,41
CBSNews,Mon Aug 27 08:48:03 +0000 2018,Remembering 1968: Chicago's bloody Democratic Convention https://t.co/Ut4Dj8oGAX https://t.co/RsBvR7Y9qJ,0.0,0.707,0.293,-0.4404,42
CBSNews,Mon Aug 27 08:40:08 +0000 2018,Study raises concerns about pot smoking by breastfeeding mothers https://t.co/hMsLfTp5Ux https://t.co/dXT74hq7oM,0.0,1.0,0.0,0.0,43
